model,is10g
PR-600,1
PR-500,0
PR-400,0
RS-500,0
RX-600,1
XG-100,1
RT-500,0
RT-400,0
WXR-11000XE12,1
WXR-6000AX12P,1
WXR-6000AX12,1
WXR-5950AX12,1
WXR-1800AX4,0
WSR-6000AX8,1
WSR-5400AX6,0
WSR-3200AX4,0
WSR-1166DHP,0
WSR-2533DHP,0
Aterm-WX11000T12,1
Aterm-WX6000HP,1
Aterm-WX5400HP,0
Aterm-WX3600HP,0
Aterm-WG2600HP,0
RTX830,0
RTX1210,0
RTX1220,0
RTX1300,1
NVR510,0
NVR700W,0
VR-U500X,1
IX2105,0
IX2106,0
IX2107,0
IX2215,0
WRC-2533GST2,0
WN-DAX3600XR,1
WN-AX2033GR,0
